Word,Valence,Concreteness,F_value,J_value
Grief,Negative,Abstract,negative,positive
Anger,Negative,Abstract,negative,positive
Hatred,Negative,Abstract,negative,positive
Panic,Negative,Abstract,negative,positive
Fear,Negative,Abstract,negative,positive
Violence,Negative,Abstract,negative,positive
Anxiety,Negative,Abstract,negative,positive
Depression,Negative,Abstract,negative,positive
Suffering,Negative,Abstract,negative,positive
Conflict,Negative,Abstract,negative,positive
Terror,Negative,Abstract,negative,positive
Trauma,Negative,Abstract,negative,positive
Misery,Negative,Abstract,negative,positive
Regret,Negative,Abstract,negative,positive
Guilt,Negative,Abstract,negative,positive
Happiness,Positive,Abstract,negative,positive
Joy,Positive,Abstract,negative,positive
Gratitude,Positive,Abstract,negative,positive
Compassion,Positive,Abstract,negative,positive
Peace,Positive,Abstract,negative,positive
Love,Positive,Abstract,negative,positive
Success,Positive,Abstract,negative,positive
Inspiration,Positive,Abstract,negative,positive
Fulfillment,Positive,Abstract,negative,positive
Bliss,Positive,Abstract,negative,positive
Confidence,Positive,Abstract,negative,positive
Hope,Positive,Abstract,negative,positive
Triumph,Positive,Abstract,negative,positive
Car,Negative,Concrete,negative,positive
War,Negative,Concrete,negative,positive
Knife,Negative,Concrete,negative,positive
Fire,Negative,Concrete,negative,positive
Gun,Negative,Concrete,negative,positive
Disaster,Negative,Concrete,negative,positive
Bomb,Negative,Concrete,negative,positive
House,Positive,Concrete,negative,positive
Flower,Positive,Concrete,negative,positive
Tree,Positive,Concrete,negative,positive
Cat,Positive,Concrete,negative,positive
Ocean,Positive,Concrete,negative,positive
